experiment_dir,quant,method,data,alpha,lr,ep,retain,extraction_strength,forget_knowmem_ROUGE,forget_verbmem_ROUGE,privleak,retain_knowmem_ROUGE
GradAscent_Books_alpha-0_lr-1e-5_ep-10,fp,GradAscent,Books,0,1e-5,10,,0.007936507936507908,0.0,0.0,-19.008875736130033,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-10,8bit,GradAscent,Books,0,1e-5,10,,0.007936507936507908,0.0,0.0,-18.971893487616146,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-10,4bit,GradAscent,Books,0,1e-5,10,,0.007936507936507908,0.0,0.0,-19.147559168057057,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-5,fp,GradAscent,Books,0,1e-5,5,,0.007936507936507908,0.0,0.0,-24.241863900842848,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-5,8bit,GradAscent,Books,0,1e-5,5,,0.007936507936507908,0.0,0.0,-24.186390528072046,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-5,4bit,GradAscent,Books,0,1e-5,5,,0.007936507936507908,0.0,0.0,-23.09541419691285,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-10,fp,GradAscent,News,0,1e-5,10,,0.007936507936507908,0.0,0.0,74.64315699524707,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-10,8bit,GradAscent,News,0,1e-5,10,,0.007936507936507908,0.0,0.0,73.59361879227674,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-10,4bit,GradAscent,News,0,1e-5,10,,0.007936507936507908,0.0,0.0,64.0008396171283,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-5,fp,GradAscent,News,0,1e-5,5,,0.007936507936507908,0.0,0.0,51.97313181108878,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-5,8bit,GradAscent,News,0,1e-5,5,,0.007936507936507908,0.0,0.0,52.53988244069272,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-5,4bit,GradAscent,News,0,1e-5,5,,0.007936507936507908,0.0,0.0,53.27455918277193,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-10,fp,GradDiff,Books,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,-24.482248516183006,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-10,8bit,GradDiff,Books,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,-24.2603550250998,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-10,4bit,GradDiff,Books,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,-22.725591711774094,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5,fp,GradDiff,Books,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,-24.2603550250998,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5,8bit,GradDiff,Books,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,-24.445266267669137,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5,4bit,GradDiff,Books,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,-22.836538457315736,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5_retain-KL,fp,GradDiff,Books,0.1,1e-5,5,KL,0.007936507936507908,0.0,0.0,-24.426775143412204,0.04597874480920021
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5_retain-KL,8bit,GradDiff,Books,0.1,1e-5,5,KL,0.007936507936507908,0.0,0.0,-24.602440823853097,0.028285007565592272
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5_retain-KL,4bit,GradDiff,Books,0.1,1e-5,5,KL,0.007936507936507908,0.0,0.0,-22.28180472960766,0.10174114683943059
GradDiff_Books_alpha-100_lr-1e-5_ep-10,fp,GradDiff,Books,100,1e-5,10,,0.007936507936507908,0.36295211605125405,0.0,-24.01997040975962,0.6873814996108715
GradDiff_Books_alpha-100_lr-1e-5_ep-10,8bit,GradDiff,Books,100,1e-5,10,,0.007936507936507908,0.308597705195985,0.0,-23.955251474860372,0.6925720681680434
GradDiff_Books_alpha-100_lr-1e-5_ep-10,4bit,GradDiff,Books,100,1e-5,10,,0.007936507936507908,0.287744175503809,0.0,-23.650147924620903,0.5378984787354352
GradDiff_Books_alpha-100_lr-1e-5_ep-5,fp,GradDiff,Books,100,1e-5,5,,0.007936507936507908,0.3498973118133837,0.0,-23.372781060766854,0.6358979017272737
GradDiff_Books_alpha-100_lr-1e-5_ep-5,8bit,GradDiff,Books,100,1e-5,5,,0.007936507936507908,0.3521124607324307,0.0,-23.298816563739123,0.6189533836533837
GradDiff_Books_alpha-100_lr-1e-5_ep-5,4bit,GradDiff,Books,100,1e-5,5,,0.007936507936507908,0.2772152782083816,0.0,-23.87204141570415,0.5138764514352749
GradDiff_Books_alpha-1_lr-1e-5_ep-10,fp,GradDiff,Books,1,1e-5,10,,0.007936507936507908,0.0,0.0,-23.252588753096788,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-10,8bit,GradDiff,Books,1,1e-5,10,,0.007936507936507908,0.0,0.0,-23.317307687996056,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-10,4bit,GradDiff,Books,1,1e-5,10,,0.007936507936507908,0.0,0.0,-22.873520705829602,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-10_retain-KL,fp,GradDiff,Books,1,1e-5,10,KL,0.007936507936507908,0.0,0.0,-25.2034023622035,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-10_retain-KL,8bit,GradDiff,Books,1,1e-5,10,KL,0.007936507936507908,0.0,0.0,-24.88905324983561,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-10_retain-KL,4bit,GradDiff,Books,1,1e-5,10,KL,0.007936507936507908,0.0,0.0,-25.869082835453206,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-5,fp,GradDiff,Books,1,1e-5,5,,0.007936507936507908,0.0,0.0,-25.656434906498465,0.12073256730536017
GradDiff_Books_alpha-1_lr-1e-5_ep-5,8bit,GradDiff,Books,1,1e-5,5,,0.007936507936507908,0.0,0.0,-25.508505912442974,0.06640289046653143
GradDiff_Books_alpha-1_lr-1e-5_ep-5,4bit,GradDiff,Books,1,1e-5,5,,0.007936507936507908,0.0,0.0,-24.667159758752405,0.17841994301994302
GradDiff_Books_alpha-1_lr-1e-5_ep-5_retain-KL,fp,GradDiff,Books,1,1e-5,5,KL,0.007936507936507908,0.0,0.0,-24.40828401915529,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-5_retain-KL,8bit,GradDiff,Books,1,1e-5,5,KL,0.007936507936507908,0.0,0.0,-24.334319522127537,0.0
GradDiff_Books_alpha-1_lr-1e-5_ep-5_retain-KL,4bit,GradDiff,Books,1,1e-5,5,KL,0.007936507936507908,0.0,0.0,-24.963017746863343,0.0
GradDiff_Books_alpha-2_lr-1e-5_ep-10_retain-KL,fp,GradDiff,Books,2,1e-5,10,KL,0.007936507936507908,0.0,0.0,-31.823224846186577,0.0
GradDiff_Books_alpha-2_lr-1e-5_ep-10_retain-KL,8bit,GradDiff,Books,2,1e-5,10,KL,0.007936507936507908,0.0,0.0,-31.139053248679925,0.0
GradDiff_Books_alpha-2_lr-1e-5_ep-10_retain-KL,4bit,GradDiff,Books,2,1e-5,10,KL,0.007936507936507908,0.0,0.0,-26.183431947821116,0.0
GradDiff_Books_alpha-2_lr-1e-5_ep-5_retain-KL,fp,GradDiff,Books,2,1e-5,5,KL,0.007936507936507908,0.0,0.0,-24.83357987706481,0.000625
GradDiff_Books_alpha-2_lr-1e-5_ep-5_retain-KL,8bit,GradDiff,Books,2,1e-5,5,KL,0.007936507936507908,0.0,0.0,-24.944526622606432,0.000625
GradDiff_Books_alpha-2_lr-1e-5_ep-5_retain-KL,4bit,GradDiff,Books,2,1e-5,5,KL,0.007936507936507908,0.0,0.0,-25.12943786517577,0.05783481646273637
GradDiff_News_alpha-0.1_lr-1e-5_ep-10,fp,GradDiff,News,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,79.42905120079158,0.0
GradDiff_News_alpha-0.1_lr-1e-5_ep-10,8bit,GradDiff,News,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,75.33585220920743,0.0
GradDiff_News_alpha-0.1_lr-1e-5_ep-10,4bit,GradDiff,News,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,61.314021817524356,0.0
GradDiff_News_alpha-0.1_lr-1e-5_ep-5,fp,GradDiff,News,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,55.20570947623729,0.0
GradDiff_News_alpha-0.1_lr-1e-5_ep-5,8bit,GradDiff,News,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,55.289672532474896,0.0
GradDiff_News_alpha-0.1_lr-1e-5_ep-5,4bit,GradDiff,News,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,55.10075565594027,0.0
GradDiff_News_alpha-100_lr-1e-5_ep-10,fp,GradDiff,News,100,1e-5,10,,0.26603174603174606,0.5698464215523038,0.5215441379552966,-99.79009233841516,0.49568826911430663
GradDiff_News_alpha-100_lr-1e-5_ep-10,8bit,GradDiff,News,100,1e-5,10,,0.26261904761904764,0.5832270434489929,0.5021570747535368,-99.79009233841516,0.4618642108143422
GradDiff_News_alpha-100_lr-1e-5_ep-10,4bit,GradDiff,News,100,1e-5,10,,0.17015873015873015,0.48190587920851075,0.420713512475973,-99.79009233841516,0.4006170929908447
GradDiff_News_alpha-100_lr-1e-5_ep-5,fp,GradDiff,News,100,1e-5,5,,0.28134920634920635,0.650289606907254,0.537765127243622,-99.81108310247458,0.4674052937919951
GradDiff_News_alpha-100_lr-1e-5_ep-5,8bit,GradDiff,News,100,1e-5,5,,0.28444444444444444,0.601884665443489,0.5312029054915534,-99.81108310247458,0.46035025096708715
GradDiff_News_alpha-100_lr-1e-5_ep-5,4bit,GradDiff,News,100,1e-5,5,,0.20674603174603173,0.5074827247915483,0.4253908222649295,-99.81108310247458,0.4291060090804336
GradDiff_News_alpha-1_lr-1e-5_ep-10,fp,GradDiff,News,1,1e-5,10,,0.007936507936507908,0.0,0.0,69.24853063197976,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-10,8bit,GradDiff,News,1,1e-5,10,,0.007936507936507908,0.0,0.0,68.49286312584114,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-10,4bit,GradDiff,News,1,1e-5,10,,0.007936507936507908,0.0,0.0,69.96221660999954,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-10_retain-KL,fp,GradDiff,News,1,1e-5,10,KL,0.010079365079365056,0.1846479274556861,0.07871137182258724,30.436607886138447,0.12775878083546752
GradDiff_News_alpha-1_lr-1e-5_ep-10_retain-KL,8bit,GradDiff,News,1,1e-5,10,KL,0.009999999999999978,0.21944530244530241,0.08431784125916436,27.350965569405776,0.13963597887857004
GradDiff_News_alpha-1_lr-1e-5_ep-10_retain-KL,4bit,GradDiff,News,1,1e-5,10,KL,0.00999999999999998,0.24338961038961038,0.07514847624819926,34.529806877722564,0.1626689166550921
GradDiff_News_alpha-1_lr-1e-5_ep-5,fp,GradDiff,News,1,1e-5,5,,0.007936507936507908,0.0,0.0,57.4727119946531,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-5,8bit,GradDiff,News,1,1e-5,5,,0.007936507936507908,0.0,0.0,62.027707795544174,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-5,4bit,GradDiff,News,1,1e-5,5,,0.007936507936507908,0.0,0.0,58.73215783821745,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-5_retain-KL,fp,GradDiff,News,1,1e-5,5,KL,0.007936507936507908,0.0047314156431803485,0.020680520440916367,46.24265322287099,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-5_retain-KL,8bit,GradDiff,News,1,1e-5,5,KL,0.008095238095238067,0.004747492766795933,0.019421783436892163,45.822837941682906,0.0
GradDiff_News_alpha-1_lr-1e-5_ep-5_retain-KL,4bit,GradDiff,News,1,1e-5,5,KL,0.007936507936507908,0.020037662599884973,0.02189821461718796,54.86985725128679,0.0
GradDiff_News_alpha-2_lr-1e-5_ep-5_retain-KL,fp,GradDiff,News,2,1e-5,5,KL,0.008412698412698386,0.4235523858666273,0.054242530925440395,107.28379510762309,0.39238430606525226
GradDiff_News_alpha-2_lr-1e-5_ep-5_retain-KL,8bit,GradDiff,News,2,1e-5,5,KL,0.008809523809523783,0.43614127247021983,0.052780176500098815,107.28379510762309,0.37573131733285187
GradDiff_News_alpha-2_lr-1e-5_ep-5_retain-KL,4bit,GradDiff,News,2,1e-5,5,KL,0.008253968253968225,0.390595938322733,0.053514670442722914,104.34508813930627,0.37112217333869757