experiment_folder,experiment_path,targets,lora_rank,lora_alpha,lr,epochs,4bit_extraction_strength,4bit_forget_knowmem_ROUGE,4bit_forget_verbmem_ROUGE,4bit_privleak,4bit_retain_knowmem_ROUGE,8bit_extraction_strength,8bit_forget_knowmem_ROUGE,8bit_forget_verbmem_ROUGE,8bit_privleak,8bit_retain_knowmem_ROUGE,fp_extraction_strength,fp_forget_knowmem_ROUGE,fp_forget_verbmem_ROUGE,fp_privleak,fp_retain_knowmem_ROUGE
targets-all_r-128_a-128_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-128_a-128_lr-7e-4_ep-5,targets-all,128,128,7e-4,5,0.007936507936507908,0.009216649580647811,0.04015294140859898,-37.11168638367017,0.005324264556462699,0.007936507936507908,0.009851876288892248,0.03967851432581576,-35.4659763248029,0.00536577859797674,0.007936507936507908,0.012800581725767247,0.03967748265387792,-36.02071005251097,0.00535515258735073
targets-all_r-128_a-256_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-128_a-256_lr-7e-4_ep-5,targets-all,128,256,7e-4,5,0.007936507936507908,0.012451712598704565,0.07097401967075216,-65.19970412995569,0.00778544001763816,0.007936507936507908,0.012418728828878692,0.07177917404099837,-64.34911241413663,0.00778544001763816,0.007936507936507908,0.01247065829631784,0.07090317015431989,-64.34911241413663,0.00778544001763816
targets-all_r-16_a-16_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-16_a-16_lr-7e-4_ep-5,targets-all,16,16,7e-4,5,0.39619047619047615,0.3561070352906054,0.58617493396721,-58.85724850982671,0.515260792584322,0.45849206349206356,0.4075309685525203,0.6302907709042974,-58.78328401279895,0.645194028743874,0.48531746031746037,0.4187921093724847,0.6418726275216666,-58.35798815488944,0.661838938973412
targets-all_r-16_a-32_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-16_a-32_lr-7e-4_ep-5,targets-all,16,32,7e-4,5,0.3095238095238095,0.38958541132070545,0.5030864346622292,-57.4704141905565,0.618710933946228,0.46880952380952384,0.4742886691852209,0.576698899082873,-56.10207099554325,0.6844760347495642,0.4792063492063491,0.463973683053095,0.5965238572016681,-56.3239644866265,0.6991975566916744
targets-all_r-32_a-16_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-32_a-16_lr-7e-4_ep-5,targets-all,32,16,7e-4,5,0.4111111111111111,0.3664068354478223,0.5639159713778004,-59.30103549199318,0.557863119995473,0.4725396825396826,0.38276142583470174,0.598247337441667,-59.09763312516687,0.6409439634439635,0.48142857142857154,0.40957805708490297,0.6221583193586847,-58.875739634083644,0.6691000328846606
targets-all_r-32_a-32_lr-7e-4_ep-10,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-32_a-32_lr-7e-4_ep-10,targets-all,32,32,7e-4,10,0.2992857142857143,0.3679993369696717,0.49804169489959577,-55.6582840133768,0.5972041662041662,0.49714285714285716,0.4063856844192544,0.6460853941157119,-55.51035501932131,0.6510685857867347,0.5065873015873017,0.4201169989222193,0.6505469915640352,-55.52884614357826,0.6378669552669554
targets-all_r-32_a-32_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-32_a-32_lr-7e-4_ep-5,targets-all,32,32,7e-4,5,0.2208730158730159,0.357042823189882,0.3765763538394051,-55.99112425000165,0.5319755777991072,0.3623015873015873,0.35364376670208325,0.48843452032516255,-55.78772188317538,0.6777819254819254,0.37420634920634915,0.3707388816226414,0.493445633455943,-55.60281064060597,0.668978354053354
targets-all_r-32_a-64_lr-7e-4_ep-10,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-32_a-64_lr-7e-4_ep-10,targets-all,32,64,7e-4,10,0.1847619047619048,0.34880896880896883,0.322164755979787,-56.8971893385915,0.5586878306878307,0.4046031746031747,0.4299039325768002,0.4964474444057042,-56.00961537425858,0.6221459242282772,0.42206349206349214,0.42399231183886354,0.5368136759477171,-55.56582839209215,0.654158062416886
targets-all_r-32_a-64_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-32_a-64_lr-7e-4_ep-5,targets-all,32,64,7e-4,5,0.23595238095238094,0.3627379712297254,0.3720975640571404,-56.41642010791117,0.5645779064014359,0.47555555555555556,0.46294412813051944,0.5834041141274544,-55.06656803715484,0.6709064284299577,0.5058730158730159,0.421650216271184,0.6461361587794942,-55.06656803715485,0.7014415161492562
targets-all_r-64_a-128_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-64_a-128_lr-7e-4_ep-5,targets-all,64,128,7e-4,5,0.05166666666666668,0.36642442645074225,0.20296850593001767,-58.912721882597495,0.5809501984370405,0.08166666666666667,0.3610175173524031,0.2229823910579155,-60.41050294740932,0.6163859016227436,0.08285714285714287,0.366335827310419,0.22674676499223975,-60.077662710784466,0.5965141388825599
targets-all_r-64_a-64_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-64_a-64_lr-7e-4_ep-5,targets-all,64,64,7e-4,5,0.24404761904761904,0.405964126807564,0.42008844882968854,-57.17455620244555,0.5627509081332611,0.4708730158730159,0.4202292686865578,0.6009367811358635,-55.89866862871696,0.6822606725919421,0.4996031746031746,0.4330014964587856,0.603233061523446,-55.80621300743229,0.6689219394296794
targets-all_r-8_a-16_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-8_a-16_lr-7e-4_ep-5,targets-all,8,16,7e-4,5,0.4042063492063492,0.35891649313855195,0.57076125768593,-57.7662721786675,0.4867609003197239,0.4931746031746032,0.39060770227631286,0.6421315502763427,-58.37647927914637,0.6532242232722782,0.5015079365079366,0.4253713932599527,0.6503635878064187,-58.15458578806314,0.6443857471703751
targets-all_r-8_a-8_lr-7e-4_ep-5,/home/joaoabitante/open-unlearning/saves/unlearn/NPO/grid_results/muse/Books/Llama-2-7b-hf/lora/targets-all_r-8_a-8_lr-7e-4_ep-5,targets-all,8,8,7e-4,5,0.4025396825396825,0.3731411276631865,0.6079336173685563,-59.837278095444276,0.483200094458918,0.4865079365079365,0.40529339386666974,0.6519750595615811,-59.07914200090993,0.6570328144433003,0.5015079365079366,0.40805385562713153,0.6361693014675821,-59.411982237534765,0.6478179640762761